"hearing_id","year","decade","date_begin","date_end","witness_name","witness_affiliation","discipline1","discipline2","discipline3","sociologist","economist","anthropologist","psychologist","polscientist","agency","census","nsfsbe","thinktank","thinktank1","thinktank2","full_committee1","sub_committee1","full_committee2","sub_committee2","title_description","filter","HID","univ_aff"
"HRG-1955-LPW-0013",1955,"1950s","Mar. 31 , 1955","Apr. 13, 1955","gardner murphy","dr. , dir of research, menninger fdn ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on labor and public welfare. senate","subcommittee on health","","","medical research act of 1955",1,25774,0
"HRG-1955-SJS-0032",1955,"1950s","Aug. 10, 1955","Aug. 12, 1955","nicholas hobbs","prof of educ psychology, george peabody coll for teachers ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on the judiciary. senate","subcommittee to investigate juvenile delinquency in the u.s.","","","juvenile delinquency (education)",1,26017,1
"HRG-1955-SJS-0032",1955,"1950s","Aug. 10, 1955","Aug. 12, 1955","s. roberts","prof of psychology and educ, fisk univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on the judiciary. senate","subcommittee to investigate juvenile delinquency in the u.s.","","","juvenile delinquency (education)",1,26017,1
"HRG-1955-SJS-0027",1955,"1950s","Apr. 6, 1955","Apr. 7, 1955","eleanor maccoby","lecturer, dept of social relations, harvard univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on the judiciary. senate","subcommittee to investigate juvenile delinquency in the u.s.","","","juvenile delinquency (television programs)",1,26026,1
"HRG-1956-OPH-0009",1956,"1950s","May 24, 1956","May 31, 1956","william white","dir, civil def research, stanford research inst ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on government operations. house","subcommittee on military operations","","","civil defense for national survival. part 6",1,26465,0
"HRG-1956-SJS-0059",1956,"1950s","Dec. 17, 1956","Dec. 18, 1956","charles winick","research dir, narcotic addiction research project ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on the judiciary. senate","subcommittee to investigate juvenile delinquency in the u.s.","","","juvenile delinquency (treatment and rehabilitation of juvenile drug addicts)",1,26519,0
"HRG-1956-OPS-0010",1956,"1950s","Jun. 19, 1956","Jun. 27, 1956","julius segal","research psychologist, human resources research office, george washington univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on government operations. senate","permanent subcommittee on investigations","","","communist interrogation, indoctrination and exploitation of american military and civilian prisoners",1,26526,1
"HRG-1957-ECJ-0001",1957,"1950s","Jan. 28 , 1957","Feb. 6, 1957","george katona","program dir, survey research center, univ of mich ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on economic. joint","","","","january 1957 economic report of the president",1,27084,1
"HRG-1957-PWS-0004",1957,"1950s","Mar. 18, 1957","Apr. 2, 1957","a. lauer","prof of psychology, iowa state coll ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on public works. senate","subcommittee on public roads","","","control of advertising on interstate highways",1,27282,1
"HRG-1958-SJS-0023",1958,"1950s","Mar. 4, 1958","Mar. 4, 1958","eugene byrd","psychologist, miami, fla ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on the judiciary. senate","subcommittee to investigate juvenile delinquency in the u.s.","","","institutions for rehabilitation and treatment of juvenile delinquency",1,27831,0
"HRG-1958-LPW-0001",1958,"1950s","Jan. 21, 1958","Mar. 13, 1958","c. carpenter","head, dept of psychology and dir, div of academic research and services, pa state univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on labor and public welfare. senate","","","","science and education for national defense",1,27915,1
"HRG-1958-FCH-0014",1958,"1950s","Apr. 23, 1958","Apr. 23, 1958","e. kelly","univ of mich ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on interstate and foreign commerce. house","special subcommittee on traffic safety","","","research needs in traffic safety",1,28286,1
"HRG-1958-SJS-0013",1958,"1950s","Jan. 28, 1958","May 6, 1958","george katona","dir, economic behavior program, survey research center, univ of mich ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on the judiciary. senate","subcommittee on antitrust and monopoly","","","administered prices. part 6: automobiles",1,28354,1
"HRG-1959-LPW-0006",1959,"1950s","Mar. 25, 1959","May 7, 1959","robert bernreuter","dr. , dean, admissions; spec asst for student aff, penn state univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on labor and public welfare. senate","subcommittee on veterans affairs","","","educational and other readjustment assistance for post-korean veterans",1,28691,1
"HRG-1959-EDL-0016",1959,"1950s","Dec. 17, 1959","Dec. 18, 1959","stanley newman","chief psychologist, clifford w beers guidance clinic, new haven, conn ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on education and labor. house","subcommittee on special education","","","special education and rehabilitation. part 2",1,28989,0
"HRG-1959-EDL-0016",1959,"1950s","Dec. 17, 1959","Dec. 18, 1959","ross thomas","psychologist, newington hosp for crippled children, newington, conn ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on education and labor. house","subcommittee on special education","","","special education and rehabilitation. part 2",1,28989,0
"HRG-1959-EDL-0006",1959,"1950s","Mar. 17, 1959","Mar. 24, 1959","maher kamel","asst prof, social sciences in psychology, jersey city teachers coll; member, penal reform on juvenile delinquency and intl soc of educ instructors on juvenile delinquency ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on education and labor. house","subcommittee on special education","","","juvenile delinquency prevention and control. part 1",1,29037,1
"HRG-1959-FCH-0003",1959,"1950s","Mar. 16, 1959","Mar. 25, 1959","john anderson","pres, amer fair trade assn; pres, quality brands assocs of amer ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on interstate and foreign commerce. house","","","","fair trade, 1959",1,29112,0
"HRG-1960-VAH-0009",1960,"1960s","Feb. 23, 1960","Mar. 14, 1960","robert bernreuter","dean of admissions and registrar, pa state univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on veterans' affairs. house","","","","readjustment benefits for individuals entering the armed services after january 31, 1955",1,29337,1
"HRG-1960-HAP-0032",1960,"1960s","Mar. 10, 1960","Mar. 10, 1960","leonard cottrell","jr. , social psychologist, russell sage fdn ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on appropriations. house","subcommittee on departments of labor and health, education, and welfare, and related agencies appropriations","","","report on juvenile delinquency",1,29632,0
"HRG-1960-HAP-0032",1960,"1960s","Mar. 10, 1960","Mar. 10, 1960","nicholas hobbs","chm, dept of psychology, george peabody coll for teachers ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on appropriations. house","subcommittee on departments of labor and health, education, and welfare, and related agencies appropriations","","","report on juvenile delinquency",1,29632,1
"HRG-1960-EDL-0015",1960,"1960s","May 24, 1960","May 25, 1960","eberhard kronhausen","clinical psychologist, anaheim, calif ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on education and labor. house","subcommittee on special education","","","commission on noxious printed and pictured material",1,29698,0
"HRG-1960-EDL-0015",1960,"1960s","May 24, 1960","May 25, 1960","phyllis kronhausen","clinical psychologist, anaheim, calif ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on education and labor. house","subcommittee on special education","","","commission on noxious printed and pictured material",1,29698,0
"HRG-1960-EDL-0003",1960,"1960s","Jan. 27, 1960","Jan. 28, 1960","william wolfe","prof, educ psychology, univ of texas ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on education and labor. house","subcommittee on special education","","","special education and rehabilitation. part 3: cullman, ala.",1,29699,1
"HRG-1960-EDL-0013",1960,"1960s","May 13, 1960","May 14, 1960","jeanne kenmore","dept of educ psychology, univ of minn ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on education and labor. house","subcommittee on special education","","","special education and rehabilitation. part 5",1,29707,1
"HRG-1960-EDL-0013",1960,"1960s","May 13, 1960","May 14, 1960","samuel kirk","dir, inst for research on exceptional children; prof of educ, univ of ill ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on education and labor. house","subcommittee on special education","","","special education and rehabilitation. part 5",1,29707,1
"HRG-1960-EDL-0013",1960,"1960s","May 13, 1960","May 14, 1960","joseph wepman","assoc prof of surgery and psychology, univ of chicago ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on education and labor. house","subcommittee on special education","","","special education and rehabilitation. part 5",1,29707,1
"HRG-1960-EDL-0017",1960,"1960s","Jul. 21, 1960","Jul. 22, 1960","leona tyler","prof of psychology, univ of oreg ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on education and labor. house","subcommittee on special education","","","special education and rehabilitation. part 7",1,29751,1
"HRG-1960-SAH-0015",1960,"1960s","Aug. 23, 1960","Aug. 25, 1960","karl kryter","supervisory engineering psychologist, bolt beranek & newman ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on science and astronautics. house","special investigating subcommittee","","","noise: its effect on man and machine",1,29769,0
"HRG-1960-SAH-0015",1960,"1960s","Aug. 23, 1960","Aug. 25, 1960","richard trumbull","head, physiological psychology br, office of naval research, navy dept ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on science and astronautics. house","special investigating subcommittee","","","noise: its effect on man and machine",1,29769,0
"HRG-1960-SAS-0004",1960,"1960s","May 25, 1960","May 26, 1960","william perl","psychologist, college park, md; maj, army reserve ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on armed services. senate","","","","reserve officer personnel act amendments",1,29848,1
"HRG-1961-SJS-0070",1961,"1960s","Jun. 8, 1961","Jul. 28, 1961","albert bandura","prof of psychology, stanford univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on the judiciary. senate","subcommittee to investigate juvenile delinquency in the u.s.","","","juvenile delinquency. part 10: effects on young people of violence and crime portrayed on television",1,30333,1
"HRG-1961-SJS-0070",1961,"1960s","Jun. 8, 1961","Jul. 28, 1961","ralph garry","prof of educ psychology, boston univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on the judiciary. senate","subcommittee to investigate juvenile delinquency in the u.s.","","","juvenile delinquency. part 10: effects on young people of violence and crime portrayed on television",1,30333,1
"HRG-1961-SJS-0039",1961,"1960s","Jun. 28, 1961","Jun. 30, 1961","ernest dichter","pres, inst for motivational research, croton-on-the-hudson, ny ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on the judiciary. senate","subcommittee on antitrust and monopoly","","","packaging and labeling practices. part 1",1,30667,0
"HRG-1961-LPW-0013",1961,"1960s","Feb. 28 , 1961","Jun. 2, 1961","robert bernreuter","dean of admissions and registrar, pa state univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on labor and public welfare. senate","subcommittee on veterans affairs","","","to provide readjustment assistance to post-korean conflict veterans",1,30689,1
"HRG-1962-HAP-0009",1962,"1960s","Mar. 1, 1962","Mar. 9, 1962","leopold bellak","dr. , dir of psychiatry, city hosp, elmhurst, nyc ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on appropriations. house","subcommittee on departments of labor and health, education, and welfare and related agencies appropriations","","","departments of labor and health, education, and welfare appropriations for 1963. statements of members of congress, organizations, and interested individuals",1,30764,0
"HRG-1962-ECJ-0005",1962,"1960s","Aug. 7, 1962","Aug. 22, 1962","george katona","survey research center, inst for social research; prof, economics and psychology, univ of mich ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on economic. joint","","","","state of the economy and policies for full employment",1,30783,1
"HRG-1962-HAP-0019",1962,"1960s","Feb. 27 , 1962","Mar. 1, 1962","jerome bruner","dir, center for cognitive studies, harvard univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on appropriations. house","subcommittee on independent offices appropriations","","","national science foundation. highlights of science in the u.s.",1,30934,1
"HRG-1962-LPW-0005",1962,"1960s","Apr. 11, 1962","Apr. 12, 1962","c. carpenter","prof, psychology and dir, div of academic research, pa state univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on labor and public welfare. senate","subcommittee on education","","","improvement of educational quality act of 1962",1,30968,1
"HRG-1962-LPW-0005",1962,"1960s","Apr. 11, 1962","Apr. 12, 1962","carson mcguire","prof, educ psychology and dir, educ research, univ of tex ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on labor and public welfare. senate","subcommittee on education","","","improvement of educational quality act of 1962",1,30968,1
"HRG-1962-SAH-0020",1962,"1960s","Jul. 11, 1962","Jul. 13, 1962","robert sleight","pres, applied psychology corp ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on science and astronautics. house","","","","research on new transportation methods (ground effect machines)",1,31195,0
"HRG-1963-ASH-0025",1963,"1960s","Jun. 3, 1963","Jul. 31, 1963","frank lutz","psychologist, abo school ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on armed services. house","subcommittee no. 3","","","hearings before subcommittee no. 3 on h.r. 3516, to further amend the federal civil defense act of 1950, as amended, to provide for shelter in federal structures, to authorize payment toward the construction or modification of approved public shelter space, and for other purposes. part 2 (volumes 1 and 2)",1,31460,1
"HRG-1963-EDL-0009",1963,"1960s","May 7, 1963","May 8, 1963","john flanagan","prof of psychology, univ of pittsburgh ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on education and labor. house","special subcommittee on labor","","","improvement of educational quality",1,31882,1
"HRG-1963-LPW-0002",1963,"1960s","Feb. 25 , 1963","Mar. 5, 1963","mildred loubert","placement counselor and asst prof of psychology, counseling center for the deaf, gallaudet coll ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on labor and public welfare. senate","subcommittee on employment and manpower","","","youth employment act",1,31926,1
"HRG-1963-LPW-0003",1963,"1960s","Mar. 5, 1963","Mar. 7, 1963","nicholas hobbs","dr. , chm, div of human dev, george peabody coll; representing amer psychological assn ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on labor and public welfare. senate","subcommittee on health","","","mental illness and retardation",1,32081,1
"HRG-1963-LPW-0028",1963,"1960s","Aug. 6, 1963","Sep. 12, 1963","eugene taylor","adjunct assoc prof, physical medicine and rehabilitation, ny univ medical center ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on labor and public welfare. senate","subcommittee on employment and manpower","","","nation's manpower revolution. part 4",1,32133,1
"HRG-1963-GRS-0002",1963,"1960s","Dec. 11, 1963","Dec. 12, 1963","john flanagan","amer educ research assn ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on government research, select. house","","","","federal research and development programs. part 2",1,32186,0
"HRG-1964-HAP-0031",1964,"1960s","Mar. 11, 1964","Mar. 18, 1964","david walsh","cashtown, pa ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on appropriations. house","subcommittee on departments of labor and health, education, and welfare and related agencies appropriations","","","departments of labor and health, education, and welfare appropriations for 1965. testimony of members of congress, interested organizations, and individuals",1,32366,0
"HRG-1964-SAP-0020",1964,"1960s","May 22, 1964","Jul. 1, 1964","john flanagan","prof, psychology, univ of pittsburgh ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on appropriations. senate","","","","labor -- health, education, and welfare appropriations for 1965. part 2",1,32453,1
"HRG-1964-OPH-0009",1964,"1960s","Apr. 29, 1964","Apr. 30, 1964","joseph kubis","prof, dept of psychology, fordham univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on government operations. house","subcommittee on foreign operations and government information","","","use of polygraphs as ""lie detectors"" by the federal government. part 3: panel discussion with scientists",1,32484,1
"HRG-1964-OPH-0009",1964,"1960s","Apr. 29, 1964","Apr. 30, 1964","martin orne","dr. , sr research psychiatrist, mass mental health center; assoc in psychiatry, harvard medical school ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on government operations. house","subcommittee on foreign operations and government information","","","use of polygraphs as ""lie detectors"" by the federal government. part 3: panel discussion with scientists",1,32484,1
"HRG-1964-SAP-0024",1964,"1960s","Aug. 14, 1964","Sep. 24, 1964","john calhoun","jr. , act dir, office of water resources research ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on appropriations. senate","","","","supplemental appropriations bill, 1965",1,32551,0
"HRG-1964-EDL-0007",1964,"1960s","Apr. 22, 1964","Apr. 28, 1964","urie bronfenbrenner","","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on education and labor. house","subcommittee on war on poverty program","","","economic opportunity act of 1964. part 3",1,32559,0
"HRG-1965-HAP-0012",1965,"1960s","Mar. 15, 1965","Mar. 24, 1965","leopold bellak","psychiatrist, larchmont, ny ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on appropriations. house","subcommittee on departments of labor and health, education, and welfare and related agencies appropriations","","","departments of labor and health, education and welfare appropriations for 1966. part 4",1,32991,0
"HRG-1965-ASH-0001",1965,"1960s","May 4, 1965","May 7, 1965","edward glaser","industrial psychologist, los angeles, calif ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on armed services. house","subcommittee for special investigations","","","aerospace corporation -- a study of fiscal and management policy and control",1,33044,0
"HRG-1965-LPW-0018",1965,"1960s","May 17, 1965","May 17, 1965","samuel kirk","prof, spec educ and dir, inst for research on exceptional children, univ of ill ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on labor and public welfare. senate","subcommittee on health","","","education of handicapped children",1,33189,1
"HRG-1965-DCH-0014",1965,"1960s","Sep. 8, 1965","Sep. 8, 1965","herman goldberg","prof, psychology, hofstra univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on the district of columbia. house","subcommittee no. 4","","","revise the d.c. alcoholic beverage control act. appendix",1,33260,1
"HRG-1965-FOR-0004",1965,"1960s","Feb. 22, 1965","Feb. 23, 1965","robert morris","pres, univ of plano, tex ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on foreign relations. senate","","","","to amend the arms control and disarmament act",1,33289,1
"HRG-1965-DCH-0012",1965,"1960s","Sep. 8, 1965","Sep. 8, 1965","herman goldberg","prof, psychology, hofstra univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on the district of columbia. house","subcommittee no. 4","","","revise the d.c. alcoholic beverage control act",1,33290,1
"HRG-1965-SAH-0007",1965,"1960s","Apr. 26, 1965","Apr. 26, 1965","carl pfaffmann","brown univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on science and astronautics. house","","","","national academy of sciences panel on basic research and national goals",1,33332,1
"HRG-1965-FCH-0013",1965,"1960s","Jun. 1, 1965","Jun. 3, 1965","john calhoun","jr. , vice chancellor or programs, texas a & m univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on interstate and foreign commerce. house","subcommittee on commerce and finance","","","state technical services act of 1965",1,33396,1
"HRG-1965-EDL-0001",1965,"1960s","Jan. 22, 1965","Jan. 27, 1965","benjamin bloom","prof, educ, univ of chicago ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on education and labor. house","general subcommittee on education","","","aid to elementary and secondary education. part 1",1,33517,1
"HRG-1965-EDL-0001",1965,"1960s","Jan. 22, 1965","Jan. 27, 1965","john carroll","prof, of educ psychology, harvard univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on education and labor. house","general subcommittee on education","","","aid to elementary and secondary education. part 1",1,33517,1
"HRG-1965-EDL-0001",1965,"1960s","Jan. 22, 1965","Jan. 27, 1965","omar moore","prof, psychology, rutgers state univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on education and labor. house","general subcommittee on education","","","aid to elementary and secondary education. part 1",1,33517,1
"HRG-1965-SJS-0065",1965,"1960s","Jun. 7, 1965","Jun. 10, 1965","margaret ives","chief psychologist, st elizabeths hosp ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on the judiciary. senate","subcommittee on constitutional rights","","","psychological tests and constitutional rights",1,33534,0
"HRG-1965-SJS-0065",1965,"1960s","Jun. 7, 1965","Jun. 10, 1965","karl smith","prof, industrial psychology, univ of wis ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on the judiciary. senate","subcommittee on constitutional rights","","","psychological tests and constitutional rights",1,33534,1
"HRG-1965-SJS-0065",1965,"1960s","Jun. 7, 1965","Jun. 10, 1965","w. dahlstrom","prof, univ of nc ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on the judiciary. senate","subcommittee on constitutional rights","","","psychological tests and constitutional rights",1,33534,1
"HRG-1965-INS-0023",1965,"1960s","Mar. 19, 1965","Mar. 22, 1965","james teller","research psychologist, af dept ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on interior and insular affairs. senate","subcommittee on parks and recreation","","","assateague island national seashore. part 2",1,33579,0
"HRG-1965-COM-0021",1965,"1960s","Feb. 19, 1965","Apr. 12, 1965","john calhoun","jr. , vice chancellor for programs, tex a & m univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on commerce. senate","","","","national oceanographic council",1,33670,1
"HRG-1966-HAP-0019",1966,"1960s","Mar. 21, 1966","Mar. 30, 1966","urie bronfenbrenner","prof, psychology and child dev and family relationships ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on appropriations. house","subcommittee on departments of labor and health, education, and welfare and related agencies appropriations","","","departments of labor and health, education, and welfare appropriations for 1967. part 5",1,33922,1
